
央视频道,#genre#
山东农科,http://112.234.23.155:9901/tsfile/live/1005_1.m3u8$订阅源
山东农科,http://58.57.40.22:9901/tsfile/live/1022_1.m3u8$订阅源

山东齐鲁,http://221.2.148.205:8154/tsfile/live/1001_1.m3u8$订阅源
山东齐鲁,http://123.132.233.194:352/tsfile/live/1019_1.m3u8$订阅源
山东齐鲁,http://221.0.78.198:1681/hls/10225/index.m3u8$订阅源

山东生活,http://221.2.148.205:8154/tsfile/live/1005_1.m3u8$订阅源
山东生活,http://221.0.78.198:1681/hls/10226/index.m3u8$订阅源
山东生活,http://112.234.23.155:9901/tsfile/live/1003_1.m3u8$订阅源

山东体育,http://221.2.148.205:8154/tsfile/live/1006_1.m3u8$订阅源
山东体育,http://119.163.199.98:9901/tsfile/live/1003_1.m3u8$订阅源
山东体育,http://123.132.233.194:352/tsfile/live/1001_1.m3u8$订阅源

山东文旅,http://221.2.148.205:8154/tsfile/live/1004_1.m3u8$订阅源
山东文旅,http://58.57.40.22:9901/tsfile/live/1023_1.m3u8$订阅源


山东综艺,http://221.2.148.205:8154/tsfile/live/1003_1.m3u8$订阅源
山东综艺,http://123.132.233.194:352/tsfile/live/1000_1.m3u8$订阅源
山东综艺,http://221.0.78.198:1681/hls/10220/index.m3u8$订阅源


济南新闻,http://221.0.78.198:1681/hls/10279/index.m3u8$订阅源

济南都市,http://221.0.78.198:1681/hls/10280/index.m3u8$订阅源

济南生活,http://221.0.78.198:1681/hls/10281/index.m3u8$订阅源
济南文旅,http://221.0.78.198:1681/hls/10282/index.m3u8$订阅源

济南娱乐,http://221.0.78.198:1681/hls/10283/index.m3u8$订阅源
济南少儿,http://221.0.78.198:1681/hls/10285/index.m3u8$订阅源
济南商务,http://221.0.78.198:1681/hls/10284/index.m3u8$订阅源
济南教育,http://221.0.78.198:1681/hls/10286/index.m3u8$订阅源

CCTV怀旧剧场,http://121.19.134.139:808/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV第一剧场,http://121.19.134.139:808/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云剧场,http://121.19.134.139:808/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV风云音乐,http://121.19.134.139:808/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0

青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
安多卫视,http://stream.qhbtv.com/adws/sd/live.m3u8
延边卫视,http://live.ybtvyun.com/video/s10006-44f040627ca1/index.m3u8
黑龙江HRB影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?fbl=$HRBDX标清
万州台,http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
